run_name,llm_model,embed_model,retriever_type,k,RetrievalHit@k,RetrievalPrecision@k,AnswerPhraseRecall,ExactMatchRate,AvgLatency_s,AvgTokensTotal
Qwen/Qwen2.5-1.5B-Instruct | sentence-transformers/all-mpnet-base-v2 | dense | k=6,Qwen/Qwen2.5-1.5B-Instruct,sentence-transformers/all-mpnet-base-v2,dense,6,0.7,0.11666666666666665,0.8,0.0,10.598156345199982,1718.2
TinyLlama/TinyLlama-1.1B-Chat-v1.0 | sentence-transformers/all-mpnet-base-v2 | dense | k=6,TinyLlama/TinyLlama-1.1B-Chat-v1.0,sentence-transformers/all-mpnet-base-v2,dense,6,0.7,0.11666666666666665,0.8,0.0,6.163340772500033,1856.7
Qwen/Qwen2.5-1.5B-Instruct | sentence-transformers/all-mpnet-base-v2 | dense | k=3,Qwen/Qwen2.5-1.5B-Instruct,sentence-transformers/all-mpnet-base-v2,dense,3,0.7,0.2333333333333333,0.75,0.0,8.935581728099999,1003.8
TinyLlama/TinyLlama-1.1B-Chat-v1.0 | sentence-transformers/all-mpnet-base-v2 | dense | k=3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,sentence-transformers/all-mpnet-base-v2,dense,3,0.7,0.2333333333333333,0.75,0.0,6.0826666173000605,1088.6
Qwen/Qwen2.5-1.5B-Instruct | sentence-transformers/all-MiniLM-L6-v2 | dense | k=3,Qwen/Qwen2.5-1.5B-Instruct,sentence-transformers/all-MiniLM-L6-v2,dense,3,0.6,0.19999999999999998,0.8916666666666666,0.0,10.78106329230003,1034.6
Qwen/Qwen2.5-1.5B-Instruct | sentence-transformers/all-MiniLM-L6-v2 | dense | k=6,Qwen/Qwen2.5-1.5B-Instruct,sentence-transformers/all-MiniLM-L6-v2,dense,6,0.6,0.09999999999999999,0.8916666666666666,0.0,10.175844070400023,1713.8
TinyLlama/TinyLlama-1.1B-Chat-v1.0 | sentence-transformers/all-MiniLM-L6-v2 | dense | k=3,TinyLlama/TinyLlama-1.1B-Chat-v1.0,sentence-transformers/all-MiniLM-L6-v2,dense,3,0.6,0.19999999999999998,0.8666666666666666,0.0,4.4054399172000105,1042.6
TinyLlama/TinyLlama-1.1B-Chat-v1.0 | sentence-transformers/all-MiniLM-L6-v2 | dense | k=6,TinyLlama/TinyLlama-1.1B-Chat-v1.0,sentence-transformers/all-MiniLM-L6-v2,dense,6,0.6,0.09999999999999999,0.8666666666666666,0.0,6.412195190399961,1863.6
